run_name,run_id,state,created_at,bits,granularity,symmetry,calibration,seed,fp32_val_bpb,final_val_bpb,final_val_loss,quant_file_bytes,quant_file_MB,matrix_quant_bits_cfg,quant_granularity_cfg,quant_symmetry_cfg,quant_calibration_cfg,bits_order,gran_order,sym_order,cal_order,delta_bpb
quant_design_8_per_tensor_symmetric_uncalibrated_seed42,mf1vm6qu,finished,2026-05-06T15:27:29Z,8,per_tensor,symmetric,uncalibrated,42,1.307512702940691,1.3329141491221732,2.2505697072882773,13838987,13.838987,8,per_tensor,symmetric,uncalibrated,0,0,0,0,0.025401446181482212
quant_design_8_per_tensor_symmetric_uncalibrated_seed123,2vmyn7kb,finished,2026-05-06T16:11:56Z,8,per_tensor,symmetric,uncalibrated,123,1.3052800466686252,1.3267971809813135,2.240241462811818,13733199,13.733199,8,per_tensor,symmetric,uncalibrated,0,0,0,0,0.021517134312688313
quant_design_8_per_tensor_symmetric_uncalibrated_seed1337,l4ch7xbc,finished,2026-05-06T14:41:31Z,8,per_tensor,symmetric,uncalibrated,1337,1.3062819887358654,1.3281094659309187,2.2424572009798434,13839115,13.839115,8,per_tensor,symmetric,uncalibrated,0,0,0,0,0.02182747719505329
quant_design_8_per_tensor_symmetric_percentile_seed42,3hl8sp2f,finished,2026-05-06T17:41:57Z,8,per_tensor,symmetric,percentile,42,1.3079989288784473,1.332405854391627,2.249711472927351,14065571,14.065571,8,per_tensor,symmetric,percentile,0,0,0,1,0.0244069255131798
quant_design_8_per_tensor_symmetric_percentile_seed123,wxzvr3oe,finished,2026-05-06T18:26:25Z,8,per_tensor,symmetric,percentile,123,1.3052529564195294,1.3220168021936258,2.2321699934707357,14013615,14.013615,8,per_tensor,symmetric,percentile,0,0,0,1,0.016763845774096398
quant_design_8_per_tensor_symmetric_percentile_seed1337,qdd3wvrd,finished,2026-05-06T16:57:04Z,8,per_tensor,symmetric,percentile,1337,1.3063505370903024,1.3242092165018762,2.2358717931937138,13989952,13.989952,8,per_tensor,symmetric,percentile,0,0,0,1,0.01785867941157382
quant_design_8_per_tensor_asymmetric_uncalibrated_seed42,r9zmptuw,finished,2026-05-06T19:56:26Z,8,per_tensor,asymmetric,uncalibrated,42,1.3078685208547118,4.105208045497299,6.931471824645996,14116220,14.11622,8,per_tensor,asymmetric,uncalibrated,0,0,1,0,2.7973395246425867
quant_design_8_per_tensor_asymmetric_uncalibrated_seed123,7nr8azv1,finished,2026-05-06T20:40:47Z,8,per_tensor,asymmetric,uncalibrated,123,1.305364262203228,4.105208045497299,6.931471824645996,14058303,14.058303,8,per_tensor,asymmetric,uncalibrated,0,0,1,0,2.7998437832940706
quant_design_8_per_tensor_asymmetric_uncalibrated_seed1337,q89t3js7,finished,2026-05-06T19:11:36Z,8,per_tensor,asymmetric,uncalibrated,1337,1.3066854815574604,4.105208045497299,6.931471824645996,14036636,14.036636,8,per_tensor,asymmetric,uncalibrated,0,0,1,0,2.798522563939838
quant_design_8_per_tensor_asymmetric_percentile_seed42,wwxh0ize,finished,2026-05-06T22:10:44Z,8,per_tensor,asymmetric,percentile,42,1.3079982280761002,4.105208045497299,6.931471824645996,14151253,14.151253,8,per_tensor,asymmetric,percentile,0,0,1,1,2.7972098174211983
